Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Jalen Hurts,PHI,23,QB,15,15,139,784,10,56,31,5.6,52.3,9
Lamar Jackson*,BAL,24,QB,12,12,133,767,2,48,31,5.8,63.9,6
Josh Allen,BUF,25,QB,17,17,122,763,6,54,34,6.3,44.9,8
Kyler Murray*,ARI,24,QB,14,14,88,423,5,25,57,4.8,30.2,13
Trevor Lawrence,JAX,22,QB,17,17,73,334,2,22,26,4.6,19.6,9
Patrick Mahomes*,KAN,26,QB,17,17,66,381,2,25,32,5.8,22.4,9
Justin Herbert*,LAC,23,QB,17,17,63,302,3,28,36,4.8,17.8,1
Daniel Jones,NYG,24,QB,11,11,62,298,2,16,46,4.8,27.1,7
Taylor Heinicke,WAS,28,QB,16,15,60,313,1,20,38,5.2,19.6,7
Carson Wentz,IND,29,QB,17,17,57,215,1,21,18,3.8,12.6,8
Ryan Tannehill,TEN,33,QB,17,17,55,270,7,33,28,4.9,15.9,10
Sam Darnold,CAR,24,QB,12,11,48,222,5,20,30,4.6,18.5,9
Dak Prescott,DAL,28,QB,16,16,48,146,1,7,21,3.0,9.1,14
Mac Jones*,NWE,23,QB,17,17,44,129,0,22,13,2.9,7.6,7
Russell Wilson*,SEA,33,QB,14,14,43,183,2,17,17,4.3,13.1,6
Tua Tagovailoa,MIA,23,QB,13,12,42,128,3,13,23,3.0,9.8,9
Joe Burrow,CIN,25,QB,16,16,40,118,2,14,12,3.0,7.4,5
Derek Carr,LVR,30,QB,17,17,40,108,0,9,22,2.7,6.4,13
Matt Ryan,ATL,36,QB,17,17,40,82,1,9,17,2.1,4.8,11
Jimmy Garoppolo,SFO,30,QB,15,15,38,51,3,15,7,1.3,3.4,8
Baker Mayfield,CLE,26,QB,14,14,37,134,1,12,14,3.6,9.6,6
Aaron Rodgers*+,GNB,38,QB,16,16,33,101,3,10,18,3.1,6.3,3
Matthew Stafford,LAR,33,QB,17,17,32,43,0,8,12,1.3,2.5,5
Teddy Bridgewater,DEN,29,QB,14,14,30,106,2,16,13,3.5,7.6,1
Kirk Cousins*,MIN,33,QB,16,16,29,115,1,8,29,4.0,7.2,12
Zach Wilson,NYJ,22,QB,13,13,29,185,4,10,52,6.4,14.2,5
Tom Brady*,TAM,44,QB,17,17,28,81,2,14,13,2.9,4.8,4
Davis Mills,HOU,23,QB,13,11,18,44,0,5,11,2.4,3.4,5
Jared Goff,DET,27,QB,14,14,17,87,0,4,26,5.1,6.2,9
